epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,159.019,0.66062,4.39733,0.90728,0.69955,1.15682,0,0.85145,0.8073,0.89376,0.65486,0.79913,0.69145,0.73025,0.38614,0.68983,4.69319,0.91899,0.71347,1.14651,0,0.0007,0.0007,0.0007
2,282.451,0.66302,4.37585,0.89936,0.69575,1.15598,0,0.85743,0.80132,0.89282,0.65637,0.79708,0.69756,0.73459,0.39315,0.68903,4.69539,0.91769,0.71175,1.14476,0,0.000699924,0.000699924,0.000699924
3,406.464,0.66224,4.34321,0.89412,0.69237,1.15412,0,0.85754,0.79886,0.89197,0.65501,0.80435,0.69065,0.73808,0.39504,0.68855,4.66749,0.91921,0.71398,1.14308,0,0.000699696,0.000699696,0.000699696
4,529.847,0.66213,4.32223,0.89076,0.69229,1.15583,0,0.86183,0.79443,0.89649,0.65673,0.80695,0.69395,0.734,0.39399,0.69075,4.66624,0.90704,0.70925,1.14475,0,0.000699316,0.000699316,0.000699316
5,653.591,0.66054,4.29759,0.88799,0.68761,1.15234,0,0.86468,0.79943,0.89409,0.65594,0.80298,0.69049,0.73088,0.38951,0.68994,4.6928,0.90034,0.70712,1.13929,0,0.000698785,0.000698785,0.000698785
6,776.268,0.65955,4.29772,0.88661,0.68719,1.15235,0,0.85628,0.80946,0.89531,0.65605,0.80484,0.69664,0.73308,0.39303,0.6892,4.65832,0.90243,0.70674,1.14075,0,0.000698102,0.000698102,0.000698102
7,900.023,0.6607,4.26839,0.88205,0.68549,1.15326,0,0.85767,0.80951,0.89516,0.65591,0.79581,0.70499,0.73624,0.39328,0.68804,4.66914,0.90211,0.70609,1.14177,0,0.000697268,0.000697268,0.000697268
8,1022.81,0.65898,4.26564,0.88183,0.68437,1.15141,0,0.86472,0.7977,0.89229,0.65566,0.81499,0.69474,0.7386,0.39914,0.68894,4.63266,0.90609,0.70925,1.14192,0,0.000696283,0.000696283,0.000696283
9,1145.82,0.65866,4.25297,0.87849,0.68183,1.15037,0,0.85135,0.81423,0.89615,0.65772,0.80017,0.69911,0.73468,0.39762,0.69086,4.6269,0.89502,0.70381,1.14133,0,0.000695148,0.000695148,0.000695148
10,1268.9,0.65812,4.23513,0.87651,0.68044,1.1493,0,0.86347,0.80248,0.89591,0.65793,0.80263,0.69783,0.73692,0.40065,0.68994,4.6196,0.89398,0.70272,1.14127,0,0.000693863,0.000693863,0.000693863
11,1392.54,0.6574,4.20479,0.87245,0.67935,1.14838,0,0.8656,0.80605,0.89742,0.65731,0.79777,0.70241,0.73464,0.40066,0.68884,4.61148,0.90135,0.69998,1.13741,0,0.000692428,0.000692428,0.000692428
12,1516.01,0.65699,4.19249,0.87107,0.67766,1.14719,0,0.86727,0.80548,0.89734,0.66016,0.79847,0.70485,0.7386,0.40515,0.68786,4.56874,0.8937,0.69396,1.14045,0,0.000690845,0.000690845,0.000690845
13,1639.02,0.65709,4.19045,0.87056,0.67597,1.14759,0,0.86186,0.81036,0.8973,0.66125,0.80702,0.69916,0.73835,0.40443,0.68581,4.56739,0.89481,0.6973,1.13821,0,0.000689114,0.000689114,0.000689114
