epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,212.829,0.54228,4.51667,0.87254,0.6329,0.98901,0.6516,0.82412,0.76717,0.84696,0.57904,0.75222,0.65082,0.66354,0.31355,0.74118,5.97963,1.14068,0.88013,1.29776,0,0.0668456,9.97625e-05,9.97625e-05
2,415.943,0.53569,4.36728,0.86478,0.6169,0.97963,0.64451,0.84796,0.79046,0.8775,0.62233,0.79096,0.6749,0.70937,0.36391,0.6845,5.56564,1.07381,0.79174,1.21925,0,0.0336122,0.000199713,0.000199713
3,618.556,0.5294,4.2741,0.85691,0.6065,0.97214,0.63478,0.85452,0.80546,0.88978,0.6401,0.80927,0.68336,0.72391,0.38654,0.66261,5.32384,1.05206,0.74425,1.19073,0,0.000378644,0.000299467,0.000299467
4,821.53,0.52471,4.20547,0.84924,0.5989,0.96839,0.63096,0.86833,0.80153,0.89018,0.64193,0.79456,0.69033,0.71819,0.38595,0.66211,5.3091,1.04809,0.73775,1.18833,0,0.000299335,0.000299335,0.000299335
5,1024.62,0.52535,4.21059,0.85144,0.60006,0.96746,0.633,0.87063,0.79671,0.89095,0.6426,0.7945,0.69082,0.72178,0.38634,0.65887,5.30928,1.04373,0.73714,1.18192,0,0.000298818,0.000298818,0.000298818
6,1227.82,0.39359,3.1478,0.63668,0.44765,0.72499,1.14663,0.86666,0.80148,0.89005,0.6435,0.80084,0.69175,0.72623,0.38999,0.65866,5.30601,1.04578,0.73209,1.18488,0,0.000298155,0.000298155,0.000298155
7,1431.25,0.39267,3.14279,0.63561,0.44742,0.72581,1.14825,0.86795,0.79779,0.89177,0.64487,0.80022,0.69537,0.7276,0.3901,0.65883,5.28248,1.04563,0.7294,1.18674,0,0.000297346,0.000297346,0.000297346
8,1635.16,0.39313,3.14023,0.63604,0.44789,0.72565,1.14955,0.86469,0.7988,0.89187,0.64337,0.80244,0.6886,0.72342,0.3892,0.65919,5.28189,1.04481,0.73311,1.18812,0,0.000296391,0.000296391,0.000296391
9,1839.11,0.3917,3.12492,0.63454,0.44584,0.72392,1.15155,0.86474,0.80117,0.89157,0.64353,0.8012,0.69364,0.72645,0.39239,0.66009,5.25192,1.04015,0.72652,1.1881,0,0.000295292,0.000295292,0.000295292
10,2042.97,0.39207,3.12508,0.63395,0.44548,0.72425,1.15384,0.86732,0.79928,0.89186,0.64395,0.79608,0.69634,0.72789,0.39524,0.65978,5.25382,1.04045,0.73298,1.18705,0,0.00029405,0.00029405,0.00029405
11,2246.36,0.39155,3.12339,0.63307,0.44445,0.72393,1.15775,0.86175,0.804,0.89155,0.64388,0.80149,0.69238,0.72633,0.39396,0.65863,5.2601,1.03942,0.72845,1.18668,0,0.000292666,0.000292666,0.000292666
12,2451.21,0.39183,3.1214,0.63417,0.44583,0.72524,1.16115,0.86415,0.80353,0.89367,0.64589,0.79565,0.69994,0.7302,0.39812,0.65758,5.23011,1.03722,0.72446,1.18697,0,0.000291141,0.000291141,0.000291141
13,2654.9,0.3921,3.11339,0.63214,0.44541,0.72411,1.16434,0.86361,0.79817,0.89215,0.64543,0.80183,0.69742,0.72959,0.39601,0.6571,5.23872,1.03634,0.7286,1.18259,0,0.000289477,0.000289477,0.000289477
14,2858.43,0.391,3.10815,0.63124,0.44441,0.72451,1.16776,0.86062,0.80038,0.89383,0.64657,0.80096,0.69753,0.72935,0.39643,0.65997,5.2207,1.03469,0.72203,1.18742,0,0.000287676,0.000287676,0.000287676
15,3062.27,0.39123,3.11037,0.62995,0.4424,0.72315,1.17039,0.87157,0.79597,0.89181,0.64651,0.81093,0.69254,0.73111,0.39654,0.65796,5.21709,1.03521,0.72656,1.18426,0,0.000285738,0.000285738,0.000285738
16,3265.57,0.39128,3.10233,0.62956,0.44278,0.72267,1.17389,0.86441,0.8049,0.89344,0.64619,0.80159,0.70041,0.73143,0.39881,0.65481,5.19031,1.03484,0.72224,1.18035,0,0.000283667,0.000283667,0.000283667
17,3469.46,0.39092,3.09901,0.63004,0.4425,0.72293,1.17791,0.85979,0.80353,0.89281,0.64758,0.80598,0.69458,0.73377,0.399,0.65486,5.19673,1.03407,0.72686,1.18298,0,0.000281465,0.000281465,0.000281465
18,3673.63,0.39098,3.08541,0.62951,0.44239,0.7227,1.18143,0.85693,0.81093,0.89313,0.64785,0.80941,0.69401,0.73377,0.40005,0.65407,5.19902,1.03276,0.72506,1.18219,0,0.000279132,0.000279132,0.000279132
19,3877.75,0.39049,3.08941,0.62838,0.44061,0.72332,1.1853,0.85723,0.80447,0.89298,0.64665,0.81117,0.6938,0.73373,0.39958,0.65471,5.18555,1.03251,0.72108,1.18233,0,0.000276673,0.000276673,0.000276673
20,4081.7,0.38985,3.08804,0.62865,0.43954,0.72313,1.19024,0.85813,0.80752,0.89365,0.64806,0.81124,0.69285,0.7326,0.40294,0.65421,5.18317,1.03257,0.72215,1.17956,0,0.000274088,0.000274088,0.000274088
21,4286.37,0.38935,3.0865,0.62884,0.44062,0.72329,1.19281,0.85826,0.80683,0.89269,0.64837,0.80312,0.69789,0.73304,0.4013,0.65462,5.17377,1.02902,0.72085,1.18214,0,0.000271381,0.000271381,0.000271381
22,4490.5,0.39001,3.0848,0.62733,0.44201,0.72264,1.19616,0.85638,0.81014,0.89265,0.64856,0.80059,0.69443,0.7312,0.40206,0.65326,5.16045,1.03034,0.7206,1.18072,0,0.000268555,0.000268555,0.000268555
23,4694.58,0.38985,3.07838,0.62733,0.43984,0.72282,1.19976,0.85548,0.80951,0.89351,0.65046,0.79983,0.69761,0.73195,0.40422,0.65311,5.16895,1.03073,0.71893,1.1798,0,0.000265611,0.000265611,0.000265611
24,4899.03,0.38932,3.07779,0.6262,0.44042,0.72221,1.20398,0.85073,0.81549,0.89477,0.64949,0.80593,0.69474,0.73381,0.40137,0.65238,5.16662,1.02994,0.71881,1.17855,0,0.000262554,0.000262554,0.000262554
25,5102.58,0.3896,3.06816,0.62621,0.44006,0.72149,1.20812,0.85957,0.8104,0.89525,0.65039,0.80642,0.69912,0.73413,0.4028,0.6516,5.16774,1.02917,0.71747,1.17739,0,0.000259386,0.000259386,0.000259386
26,5306.41,0.38912,3.05773,0.62531,0.4395,0.72185,1.20767,0.85551,0.81187,0.89471,0.65098,0.80619,0.70261,0.73665,0.40406,0.65033,5.15563,1.02845,0.71615,1.17768,0,0.00025611,0.00025611,0.00025611
27,5509.88,0.38917,3.06334,0.62712,0.43936,0.72145,1.20867,0.86211,0.80511,0.89573,0.65101,0.81109,0.69994,0.73766,0.40496,0.65011,5.1509,1.02935,0.71411,1.17759,0,0.000252729,0.000252729,0.000252729
28,5713.98,0.38898,3.06231,0.62658,0.43913,0.72214,1.20885,0.85532,0.81093,0.89561,0.6514,0.8094,0.69978,0.73786,0.40505,0.64977,5.15686,1.02782,0.71605,1.17699,0,0.000249248,0.000249248,0.000249248
29,5917.83,0.38915,3.06477,0.62462,0.43873,0.72065,1.20935,0.85848,0.81203,0.89552,0.65192,0.80436,0.70229,0.7391,0.40561,0.65081,5.15935,1.02786,0.71534,1.17629,0,0.000245668,0.000245668,0.000245668
30,6121.59,0.38903,3.05993,0.62368,0.43783,0.72151,1.20977,0.8592,0.81082,0.89533,0.6515,0.80313,0.69931,0.73629,0.40564,0.6499,5.14815,1.02658,0.71499,1.17609,0,0.000241994,0.000241994,0.000241994
31,6324.22,0.38871,3.05075,0.62334,0.4368,0.72113,1.21056,0.85828,0.80856,0.89483,0.65155,0.79918,0.70044,0.73522,0.40524,0.65019,5.14747,1.02664,0.71356,1.1769,0,0.00023823,0.00023823,0.00023823
32,6528.2,0.38784,3.04554,0.62374,0.43588,0.72009,1.21179,0.86122,0.80668,0.89534,0.65181,0.80152,0.70249,0.73757,0.4059,0.6495,5.14413,1.02701,0.71332,1.17635,0,0.000234378,0.000234378,0.000234378
33,6732.77,0.38804,3.05029,0.6231,0.43718,0.72057,1.21166,0.859,0.80762,0.89498,0.6518,0.80366,0.70167,0.73626,0.40539,0.64949,5.14289,1.02687,0.71254,1.17621,0,0.000230444,0.000230444,0.000230444
34,6934.56,0.38795,3.04572,0.62267,0.43716,0.72041,1.21224,0.86069,0.80825,0.8954,0.65167,0.80621,0.70212,0.73684,0.40607,0.64912,5.13989,1.02708,0.71196,1.1762,0,0.00022643,0.00022643,0.00022643
35,7138.31,0.38817,3.04541,0.62258,0.43638,0.72016,1.21229,0.8623,0.80742,0.89538,0.65179,0.80216,0.70293,0.73629,0.40586,0.64865,5.13655,1.02684,0.7119,1.1758,0,0.000222341,0.000222341,0.000222341
36,7342.19,0.38714,3.02921,0.62199,0.43542,0.71952,1.21325,0.85834,0.8103,0.89554,0.6521,0.80039,0.70466,0.73588,0.40596,0.64826,5.13318,1.02655,0.7117,1.17535,0,0.00021818,0.00021818,0.00021818
37,7546.23,0.38729,3.03867,0.62226,0.43532,0.71882,1.21267,0.85799,0.81156,0.8954,0.6522,0.80153,0.70466,0.736,0.40633,0.64822,5.12894,1.02612,0.71129,1.17522,0,0.000213953,0.000213953,0.000213953
