epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
26,5246.52,1.10001,4.17233,0.34355,0.9765,1.30348,0,0.85829,0.78117,0.88175,0.64612,0.79343,0.67727,0.71273,0.36846,0.94792,3.26149,0.32096,0.73942,1.16787,0,0.00096232,0.00096232,0.00096232
27,5448.49,1.09863,4.17028,0.34357,0.97457,1.30393,0,0.85701,0.77991,0.88226,0.64653,0.79545,0.67648,0.71263,0.36933,0.94685,3.2542,0.32049,0.73782,1.16675,0,0.000959289,0.000959289,0.000959289
28,5653.61,1.09549,4.13841,0.34169,0.97566,1.3063,0,0.85456,0.78117,0.88205,0.64681,0.79763,0.67758,0.71445,0.37096,0.94476,3.2485,0.32021,0.73777,1.16522,0,0.000956145,0.000956145,0.000956145
29,5858.65,1.09244,4.13965,0.34243,0.97133,1.30133,0,0.85145,0.78621,0.88198,0.64741,0.79552,0.67805,0.71564,0.37229,0.94386,3.24176,0.31992,0.73666,1.16397,0,0.000952889,0.000952889,0.000952889
30,6057.97,1.09348,4.14462,0.34151,0.9708,1.29741,0,0.85322,0.78416,0.88301,0.64829,0.79754,0.67868,0.71573,0.37288,0.94304,3.23562,0.31961,0.73599,1.16284,0,0.000949524,0.000949524,0.000949524
31,6260.23,1.09187,4.14086,0.34162,0.96763,1.29747,0,0.85248,0.78558,0.88339,0.64941,0.79441,0.68069,0.71723,0.37436,0.94185,3.22915,0.31923,0.7351,1.1615,0,0.000946048,0.000946048,0.000946048
32,6457.72,1.09308,4.13548,0.34132,0.9649,1.29441,0,0.85433,0.78478,0.88384,0.65069,0.79972,0.68015,0.71872,0.37587,0.94051,3.22259,0.31877,0.73408,1.15976,0,0.000942464,0.000942464,0.000942464
33,6661.58,1.08663,4.10967,0.34052,0.96276,1.2953,0,0.85786,0.78243,0.88416,0.65162,0.80165,0.68082,0.72034,0.37677,0.93957,3.21654,0.31847,0.73301,1.15836,0,0.000938772,0.000938772,0.000938772
34,6859.87,1.08841,4.11603,0.34014,0.96239,1.29193,0,0.85407,0.78637,0.88456,0.65183,0.80101,0.68063,0.72026,0.37797,0.93849,3.21016,0.31818,0.73219,1.15729,0,0.000934973,0.000934973,0.000934973
35,7060.11,1.08696,4.1018,0.34041,0.96036,1.29239,0,0.85188,0.7892,0.88522,0.65223,0.8015,0.68079,0.72054,0.37882,0.93725,3.20421,0.31761,0.73163,1.15565,0,0.000931067,0.000931067,0.000931067
36,7256.04,1.08562,4.10457,0.33966,0.95701,1.28586,0,0.84899,0.79393,0.88543,0.65279,0.80139,0.67994,0.72198,0.3796,0.93602,3.19779,0.31717,0.73093,1.15438,0,0.000927057,0.000927057,0.000927057
37,7455.37,1.07973,4.07821,0.33834,0.94938,1.28693,0,0.84861,0.7951,0.88581,0.65312,0.80234,0.67805,0.72251,0.38098,0.93432,3.19262,0.31677,0.72994,1.1527,0,0.000922942,0.000922942,0.000922942
38,7657.05,1.07863,4.05158,0.33805,0.94776,1.28506,0,0.85044,0.79377,0.88611,0.65398,0.80464,0.67758,0.72218,0.3817,0.93281,3.18554,0.31631,0.72841,1.15098,0,0.000918725,0.000918725,0.000918725
