epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,251.217,0.60424,4.00472,0.77335,0.6606,1.00765,1.18628,0.84621,0.77878,0.87096,0.60905,0.78295,0.65646,0.69271,0.34471,0.77461,5.1911,0.96525,0.82759,1.25241,0,0.0007,0.0007,0.0007
2,493.937,0.60125,3.96731,0.76446,0.64789,1.00214,1.19634,0.84497,0.77849,0.86907,0.60974,0.7833,0.65239,0.68821,0.34374,0.7764,5.21193,0.95935,0.82124,1.24854,0,0.000699924,0.000699924,0.000699924
3,736.74,0.59724,3.92927,0.75864,0.64095,0.99761,1.19516,0.84171,0.78873,0.87479,0.61467,0.78678,0.6546,0.68971,0.34948,0.77292,5.14655,0.9564,0.80957,1.24143,0,0.000699696,0.000699696,0.000699696
4,980.696,0.59374,3.90711,0.75603,0.63721,0.99556,1.19241,0.85119,0.78196,0.87699,0.61732,0.7766,0.66386,0.69294,0.34528,0.76602,5.1465,0.94403,0.79849,1.23579,0,0.000699316,0.000699316,0.000699316
5,1225.88,0.59135,3.87535,0.75072,0.63077,0.99182,1.19221,0.8504,0.78338,0.87692,0.61679,0.78572,0.66892,0.699,0.35178,0.76421,5.10851,0.94182,0.79508,1.23383,0,0.000698785,0.000698785,0.000698785
6,1474.08,0.44214,2.89181,0.56116,0.46844,0.74199,2.15165,0.85409,0.78479,0.87818,0.6191,0.77344,0.66089,0.68619,0.34554,0.76214,5.12408,0.94763,0.78769,1.23372,0,0.000698102,0.000698102,0.000698102
7,1722.07,0.44048,2.8744,0.55946,0.46659,0.74177,2.14485,0.85211,0.78967,0.8812,0.62294,0.78141,0.66562,0.69355,0.35034,0.75578,5.06881,0.94233,0.78612,1.23173,0,0.000697268,0.000697268,0.000697268
8,1970.69,0.4395,2.87271,0.55851,0.46437,0.74127,2.14001,0.85236,0.78894,0.8788,0.6231,0.77666,0.6727,0.69615,0.35376,0.75594,5.05839,0.93198,0.7816,1.23022,0,0.000696283,0.000696283,0.000696283
9,2217.1,0.43793,2.8635,0.55597,0.46228,0.73966,2.13773,0.85638,0.78757,0.88222,0.62677,0.79516,0.67222,0.70622,0.35665,0.75082,5.04928,0.93378,0.7737,1.22384,0,0.000695148,0.000695148,0.000695148
10,2463.66,0.43719,2.8426,0.55452,0.46007,0.73896,2.13663,0.85443,0.78763,0.88166,0.62772,0.7883,0.6664,0.69797,0.35548,0.75216,5.04517,0.93129,0.77281,1.22604,0,0.000693863,0.000693863,0.000693863
