epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,499.683,2.96516,9.87756,0.84843,2.82189,3.20877,2.65204,0.1875,0.09686,0.07885,0.02302,0.01913,0.00803,0.00168,0.0004,2.74851,11.5435,0.96952,2.94726,3.27001,0,0.00199887,0.00199887,0.00199887
2,994.733,1.9526,8.57388,0.75471,1.99802,2.16742,1.7693,0.55419,0.44899,0.48417,0.21991,0.1967,0.13098,0.0599,0.01211,1.94842,9.22405,0.81466,1.95448,2.28923,0,0.00399883,0.00399883,0.00399883
3,1475.06,1.60631,7.60321,0.63394,1.58528,1.7496,1.53803,0.69379,0.55253,0.63784,0.34171,0.40395,0.25016,0.19122,0.04447,1.67462,7.96139,0.72019,1.62145,1.97929,0,0.00599863,0.00599863,0.00599863
4,1952.18,1.48551,7.05983,0.59131,1.44012,1.6065,1.43683,0.71868,0.59925,0.69351,0.38667,0.50002,0.34351,0.29602,0.08225,1.56861,7.17279,0.67173,1.47772,1.81977,0,0.00799816,0.00799816,0.00799816
5,2422.93,1.42658,6.75591,0.56928,1.36544,1.51698,1.39167,0.74839,0.62702,0.72423,0.42315,0.56281,0.40271,0.37268,0.11459,1.49886,6.6877,0.64502,1.36385,1.70998,0,0.00999729,0.00999729,0.00999729
6,2896.65,1.02458,4.84087,0.41376,0.96158,1.07649,2.43709,0.76411,0.65822,0.75287,0.46185,0.61071,0.4586,0.43832,0.14519,1.42655,6.28599,0.61558,1.25501,1.60528,0,0.00999754,0.00999754,0.00999754
7,3373.75,0.98251,4.64099,0.40226,0.90538,1.02776,2.33099,0.78283,0.66924,0.77399,0.48767,0.65712,0.48489,0.47924,0.16752,1.37089,5.97504,0.5988,1.18022,1.53503,0,0.00999645,0.00999645,0.00999645
8,3857.58,0.94607,4.46982,0.39206,0.86568,0.99309,2.27175,0.79577,0.68923,0.79425,0.51213,0.67206,0.51244,0.51315,0.18909,1.32004,5.72267,0.58666,1.11748,1.4799,0,0.00999517,0.00999517,0.00999517
9,4336.86,0.92732,4.37304,0.38705,0.83534,0.96622,2.22621,0.7915,0.70293,0.80298,0.52612,0.68696,0.53054,0.53035,0.20248,1.28158,5.57029,0.5771,1.07279,1.43809,0,0.00999369,0.00999369,0.00999369
10,4813.25,0.90994,4.30129,0.38207,0.81426,0.94651,2.19693,0.80605,0.71379,0.81389,0.53634,0.70444,0.5437,0.55374,0.21513,1.25608,5.44333,0.57075,1.03509,1.40676,0,0.00999202,0.00999202,0.00999202
11,5286.97,0.899,4.24445,0.37866,0.79711,0.93234,2.17264,0.80107,0.72387,0.8189,0.54685,0.71177,0.55904,0.56714,0.22442,1.22983,5.3287,0.56473,1.011,1.37954,0,0.00999014,0.00999014,0.00999014
12,5761.38,0.88362,4.15497,0.37384,0.77899,0.91749,2.15429,0.81401,0.72139,0.82404,0.55486,0.71532,0.572,0.5784,0.23255,1.21248,5.23272,0.55901,0.99185,1.36177,0,0.00998807,0.00998807,0.00998807
13,6236.37,0.87459,4.11429,0.37161,0.76872,0.90837,2.13868,0.80864,0.7338,0.82923,0.56263,0.72126,0.57478,0.58642,0.24117,1.19747,5.1535,0.55513,0.97143,1.34506,0,0.00998581,0.00998581,0.00998581
14,6718.57,0.86406,4.06005,0.36911,0.75864,0.90002,2.13092,0.81683,0.73363,0.83373,0.56829,0.72503,0.58738,0.5972,0.24839,1.1854,5.07356,0.55131,0.95628,1.33228,0,0.00998335,0.00998335,0.00998335
15,7195.8,0.8598,4.02951,0.36696,0.75047,0.89109,2.11609,0.82099,0.73717,0.83652,0.57365,0.73293,0.58802,0.60242,0.25363,1.17633,5.01892,0.5483,0.9425,1.32205,0,0.00998069,0.00998069,0.00998069
