epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,424.721,0.6792,8.34384,0.62229,0.93608,1.15431,1.56667,0.78455,0.69537,0.79087,0.50982,0.65955,0.52188,0.50841,0.18259,0.82355,9.25995,0.75106,1.10427,1.41414,0,0.0505419,0.000499576,0.000499576
2,839.282,0.69919,8.36456,0.6211,0.95984,1.17846,1.61238,0.81824,0.70623,0.81244,0.52437,0.69487,0.53921,0.55249,0.22002,0.81982,9.02595,0.72945,1.04588,1.4106,0,0.00104192,0.000999549,0.000999549
3,1266.45,0.70017,8.30445,0.61714,0.9616,1.17731,1.62227,0.80127,0.71853,0.81705,0.53397,0.72001,0.55909,0.58013,0.23703,0.7998,8.746,0.72009,1.0204,1.38063,0,0.00099989,0.00099989,0.00099989
4,1689.95,0.69266,8.17667,0.61096,0.94306,1.16044,1.60908,0.81183,0.71804,0.82358,0.54461,0.71279,0.57226,0.58439,0.24842,0.7848,8.47464,0.71018,0.99784,1.35467,0,0.000999753,0.000999753,0.000999753
5,2115.12,0.68644,8.0907,0.60574,0.93293,1.15235,1.6023,0.82611,0.7193,0.83181,0.55884,0.72388,0.59147,0.60487,0.26092,0.76605,8.2774,0.70285,0.96527,1.33678,0,0.000999561,0.000999561,0.000999561
6,2549,0.50955,5.96179,0.45181,0.68627,0.85936,2.915,0.82446,0.73348,0.84042,0.56978,0.74373,0.6028,0.62324,0.2804,0.75354,8.05258,0.69109,0.93736,1.31648,0,0.000999315,0.000999315,0.000999315
7,2969.67,0.50695,5.90935,0.44742,0.67537,0.85222,2.86964,0.83246,0.74078,0.84211,0.57479,0.74545,0.61792,0.63885,0.29355,0.74979,7.92992,0.6874,0.92682,1.30971,0,0.000999013,0.000999013,0.000999013
8,3402.91,0.50366,5.84178,0.44486,0.67109,0.85168,2.86084,0.83908,0.74197,0.84846,0.58387,0.76222,0.61971,0.64649,0.30001,0.73477,7.79844,0.68063,0.89945,1.2946,0,0.000998657,0.000998657,0.000998657
9,3827.47,0.50265,5.82,0.44309,0.66514,0.84576,2.83787,0.83612,0.751,0.85461,0.58774,0.74537,0.63177,0.65221,0.30752,0.72917,7.68486,0.67586,0.88489,1.28382,0,0.000998247,0.000998247,0.000998247
10,4257.29,0.49964,5.76617,0.44053,0.66129,0.84285,2.834,0.83544,0.75614,0.855,0.59088,0.75265,0.63088,0.65694,0.31437,0.72269,7.59368,0.67287,0.87307,1.27687,0,0.000997781,0.000997781,0.000997781
11,4682.9,0.49672,5.73543,0.43819,0.6526,0.83815,2.81911,0.8391,0.75504,0.85661,0.59506,0.77024,0.62962,0.66333,0.31979,0.71742,7.52356,0.6695,0.8618,1.27053,0,0.000997261,0.000997261,0.000997261
12,5124.82,0.49323,5.64972,0.43517,0.65039,0.8398,2.82629,0.83531,0.76658,0.86053,0.59893,0.75058,0.64099,0.66297,0.32257,0.71434,7.44531,0.66666,0.85285,1.26546,0,0.000996687,0.000996687,0.000996687
13,5552.56,0.49247,5.62886,0.43533,0.64132,0.83214,2.80357,0.83549,0.77251,0.86325,0.60255,0.75926,0.64397,0.67026,0.328,0.71253,7.38576,0.66349,0.84492,1.26063,0,0.000996058,0.000996058,0.000996058
14,5982.06,0.49177,5.61173,0.43394,0.63975,0.82972,2.80232,0.84282,0.76818,0.86427,0.60451,0.76741,0.64594,0.67479,0.33144,0.70943,7.33422,0.66159,0.83908,1.25521,0,0.000995374,0.000995374,0.000995374
15,6413.17,0.48971,5.5539,0.4305,0.63741,0.8289,2.79903,0.83211,0.77676,0.86509,0.60553,0.77095,0.64436,0.6741,0.33315,0.70754,7.29473,0.66015,0.83439,1.25288,0,0.000994637,0.000994637,0.000994637
16,6840.54,0.48815,5.53938,0.42946,0.63276,0.82396,2.78543,0.83507,0.77613,0.8659,0.60711,0.76586,0.64783,0.67552,0.33502,0.70628,7.2656,0.65911,0.83108,1.2509,0,0.000993845,0.000993845,0.000993845
17,7263.83,0.48761,5.5161,0.43049,0.62893,0.82322,2.78653,0.83661,0.77298,0.86596,0.60832,0.77136,0.64904,0.6794,0.33712,0.70518,7.23984,0.65806,0.82842,1.24893,0,0.000992999,0.000992999,0.000992999
18,7689.86,0.4842,5.4972,0.42832,0.62805,0.82008,2.7871,0.84169,0.77298,0.86763,0.60915,0.77203,0.65418,0.68063,0.33905,0.70341,7.21512,0.65697,0.82608,1.24666,0,0.000992099,0.000992099,0.000992099
19,8114.55,0.48167,5.46071,0.42559,0.62482,0.81765,2.77999,0.84259,0.7736,0.86805,0.61027,0.7733,0.65822,0.68489,0.34134,0.70193,7.1886,0.65593,0.82324,1.24481,0,0.000991145,0.000991145,0.000991145
20,8546.31,0.47986,5.3992,0.42338,0.61883,0.81638,2.78079,0.84223,0.77361,0.86871,0.61082,0.77298,0.65773,0.68462,0.34348,0.70044,7.16711,0.65484,0.82136,1.24299,0,0.000990137,0.000990137,0.000990137
21,8980.76,0.47868,5.37245,0.42317,0.61603,0.81492,2.78216,0.84478,0.77286,0.86956,0.61216,0.77151,0.65932,0.68492,0.34494,0.69957,7.14311,0.6537,0.81944,1.24166,0,0.000989075,0.000989075,0.000989075
22,9413.34,0.47781,5.3734,0.42255,0.61426,0.81348,2.77585,0.84206,0.77361,0.87083,0.6135,0.77535,0.65853,0.68863,0.34718,0.69877,7.1187,0.65251,0.81741,1.24064,0,0.00098796,0.00098796,0.00098796
23,9843.02,0.47768,5.35402,0.42101,0.61411,0.81316,2.77308,0.84622,0.77448,0.87081,0.61442,0.77436,0.66121,0.69074,0.34884,0.69745,7.09322,0.65128,0.81603,1.23915,0,0.000986791,0.000986791,0.000986791
24,10266.3,0.47898,5.36184,0.42274,0.61131,0.81067,2.76758,0.8457,0.77487,0.87206,0.6154,0.7739,0.66467,0.69132,0.35039,0.69611,7.07089,0.64996,0.81467,1.23751,0,0.000985569,0.000985569,0.000985569
25,10696.6,0.47655,5.32106,0.42042,0.60973,0.80933,2.77338,0.84487,0.77645,0.87208,0.61667,0.77574,0.66751,0.69324,0.35185,0.69456,7.04466,0.64866,0.81256,1.23598,0,0.000984293,0.000984293,0.000984293
