epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,225.655,0.54444,4.52054,0.874,0.63156,0.98806,0.85132,0.82985,0.73457,0.84098,0.56072,0.76351,0.63636,0.66779,0.31405,0.77963,6.07026,1.14535,0.88964,1.33041,0,0.0668456,9.97625e-05,9.97625e-05
2,462.496,0.53791,4.38707,0.86547,0.61627,0.97762,0.8433,0.85111,0.78747,0.87689,0.62003,0.79989,0.66278,0.70461,0.35725,0.70646,5.6343,1.07683,0.78414,1.22763,0,0.0336122,0.000199713,0.000199713
3,698.57,0.53193,4.29188,0.85725,0.60615,0.96947,0.83431,0.85595,0.80357,0.89287,0.64383,0.8013,0.68514,0.72297,0.38171,0.66321,5.39209,1.05088,0.73746,1.18341,0,0.000378644,0.000299467,0.000299467
4,927.452,0.52742,4.22652,0.851,0.6,0.96699,0.83293,0.8708,0.79188,0.89201,0.64385,0.79276,0.68734,0.72304,0.38312,0.6636,5.36125,1.04916,0.73705,1.18655,0,0.000299335,0.000299335,0.000299335
5,1159.71,0.52778,4.22349,0.85184,0.59817,0.96641,0.83553,0.86016,0.79601,0.89261,0.64278,0.80567,0.68026,0.72123,0.38489,0.66159,5.34489,1.04491,0.73569,1.18269,0,0.000298818,0.000298818,0.000298818
6,1392.94,0.39485,3.15622,0.63663,0.44823,0.72359,1.54242,0.8523,0.80872,0.89383,0.64491,0.79864,0.69081,0.72441,0.38382,0.66005,5.34191,1.04489,0.72848,1.18041,0,0.000298155,0.000298155,0.000298155
7,1624.13,0.39416,3.15524,0.63612,0.44674,0.72346,1.54591,0.86279,0.7977,0.89195,0.64456,0.79973,0.69026,0.7241,0.38573,0.66254,5.32158,1.04463,0.72847,1.18309,0,0.000297346,0.000297346,0.000297346
8,1852.68,0.39483,3.14871,0.63642,0.4469,0.72422,1.54969,0.8547,0.80668,0.89243,0.64538,0.78618,0.68939,0.72232,0.38636,0.66044,5.33012,1.0421,0.73111,1.18304,0,0.000296391,0.000296391,0.000296391
9,2088.22,0.39365,3.1442,0.63501,0.44482,0.72359,1.55349,0.8634,0.79739,0.89299,0.64446,0.79996,0.69144,0.72548,0.38989,0.66112,5.31386,1.0431,0.7278,1.18361,0,0.000295292,0.000295292,0.000295292
10,2315.38,0.39399,3.13823,0.63478,0.44451,0.72348,1.55754,0.85816,0.802,0.89271,0.64535,0.79752,0.69139,0.72514,0.38955,0.65955,5.28775,1.04223,0.72541,1.17848,0,0.00029405,0.00029405,0.00029405
11,2557.33,0.39402,3.13639,0.63392,0.44458,0.72359,1.56398,0.85877,0.80222,0.89377,0.64485,0.78887,0.69332,0.72613,0.3893,0.65977,5.30408,1.04158,0.7251,1.17971,0,0.000292666,0.000292666,0.000292666
12,2787.2,0.39376,3.1366,0.63434,0.44539,0.72424,1.56946,0.86042,0.79676,0.8918,0.64415,0.8032,0.68356,0.72483,0.39046,0.66014,5.29377,1.03933,0.72756,1.18399,0,0.000291141,0.000291141,0.000291141
13,3022.38,0.39376,3.12625,0.63217,0.44452,0.72331,1.57463,0.86635,0.79471,0.89318,0.64538,0.79884,0.69096,0.72446,0.39078,0.65853,5.29672,1.04261,0.72709,1.18119,0,0.000289477,0.000289477,0.000289477
14,3249.59,0.39204,3.11802,0.63184,0.44323,0.72217,1.58081,0.85701,0.80295,0.89346,0.64513,0.78994,0.69726,0.72771,0.3922,0.65822,5.27644,1.0406,0.7251,1.17995,0,0.000287676,0.000287676,0.000287676
15,3486.62,0.39211,3.11867,0.63058,0.44266,0.72216,1.58515,0.85487,0.80573,0.89316,0.64584,0.8015,0.6886,0.72815,0.39245,0.66051,5.27326,1.03696,0.72788,1.18211,0,0.000285738,0.000285738,0.000285738
16,3729.56,0.39271,3.10978,0.62953,0.44294,0.72167,1.59071,0.85418,0.80542,0.89351,0.6459,0.80034,0.69226,0.73171,0.39599,0.65883,5.24363,1.04076,0.72311,1.17679,0,0.000283667,0.000283667,0.000283667
17,3962.94,0.39253,3.11026,0.63044,0.4424,0.72204,1.5975,0.85966,0.80232,0.89352,0.64589,0.8034,0.68703,0.72589,0.39447,0.6593,5.24863,1.03907,0.72449,1.18042,0,0.000281465,0.000281465,0.000281465
18,4195.66,0.39229,3.09595,0.63022,0.44129,0.72076,1.60263,0.85082,0.81014,0.89411,0.64681,0.79425,0.69175,0.7297,0.39574,0.65773,5.24417,1.03574,0.72183,1.17709,0,0.000279132,0.000279132,0.000279132
19,4426.34,0.39153,3.0995,0.62938,0.44035,0.72126,1.60864,0.85836,0.80872,0.89409,0.64703,0.78814,0.7023,0.73197,0.39769,0.65664,5.23237,1.03624,0.72163,1.17639,0,0.000276673,0.000276673,0.000276673
20,4659.47,0.39228,3.09823,0.6291,0.43968,0.72211,1.61567,0.85864,0.80904,0.89484,0.64792,0.78959,0.70135,0.73439,0.39839,0.6572,5.22313,1.03644,0.71875,1.17719,0,0.000274088,0.000274088,0.000274088
