epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,302.825,0.60578,4.00357,0.77048,0.65665,1.00396,1.55287,0.84833,0.774,0.87149,0.61232,0.77814,0.65044,0.68288,0.33834,0.77087,5.19935,0.95787,0.81503,1.23802,0,0.0007,0.0007,0.0007
2,588.64,0.60209,3.97169,0.76204,0.64535,0.99822,1.56173,0.84269,0.77708,0.87335,0.61302,0.77025,0.65003,0.67853,0.33396,0.7689,5.22404,0.9571,0.81268,1.23996,0,0.000699924,0.000699924,0.000699924
3,839.253,0.59876,3.92889,0.75592,0.63678,0.99459,1.56225,0.84785,0.7744,0.87365,0.61643,0.78532,0.65523,0.69099,0.34291,0.77064,5.14961,0.94661,0.80831,1.23997,0,0.000699696,0.000699696,0.000699696
4,1088.53,0.59607,3.90337,0.75253,0.63335,0.99272,1.56041,0.85176,0.78306,0.87924,0.62118,0.77451,0.65901,0.68519,0.33927,0.75972,5.1366,0.94266,0.79222,1.22695,0,0.000699316,0.000699316,0.000699316
5,1341.34,0.59219,3.8758,0.74777,0.62758,0.98975,1.56119,0.84421,0.78983,0.87857,0.62026,0.7794,0.65727,0.69202,0.34476,0.76004,5.12359,0.94022,0.79377,1.22651,0,0.000698785,0.000698785,0.000698785
6,1601.17,0.44264,2.89139,0.5591,0.46645,0.73949,2.87667,0.85275,0.78637,0.87883,0.61853,0.76785,0.66814,0.68742,0.34372,0.76878,5.11565,0.93748,0.79172,1.23665,0,0.000698102,0.000698102,0.000698102
7,1855.72,0.44184,2.87733,0.55766,0.46355,0.73977,2.86993,0.85401,0.78448,0.87964,0.62443,0.77164,0.66672,0.69196,0.34954,0.75554,5.08966,0.94217,0.77956,1.22318,0,0.000697268,0.000697268,0.000697268
8,2107.56,0.44082,2.87324,0.55625,0.46167,0.73939,2.8645,0.85213,0.78109,0.87756,0.62222,0.78605,0.66357,0.69658,0.3521,0.7567,5.0914,0.93225,0.78504,1.2273,0,0.000696283,0.000696283,0.000696283
9,2360.56,0.44008,2.86121,0.55493,0.46004,0.73853,2.86506,0.84984,0.79628,0.88181,0.62791,0.76502,0.66834,0.69084,0.35066,0.75196,5.07522,0.93486,0.76925,1.21713,0,0.000695148,0.000695148,0.000695148
10,2614.28,0.43798,2.84278,0.5527,0.45768,0.73596,2.86359,0.85119,0.79046,0.88066,0.62628,0.77225,0.67153,0.69165,0.34959,0.75035,5.0717,0.93523,0.77726,1.21912,0,0.000693863,0.000693863,0.000693863
11,2867.98,0.43734,2.83099,0.55164,0.4557,0.73526,2.86687,0.8585,0.78353,0.88232,0.62826,0.79063,0.667,0.69912,0.35542,0.75091,5.04817,0.92922,0.76871,1.21836,0,0.000692428,0.000692428,0.000692428
