epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,148.035,0.50673,6.53998,1.49726,0.43916,1.1752,0,0.84297,0.75929,0.85589,0.61297,0.78597,0.65743,0.69859,0.36507,0.54408,7.05218,1.56027,0.49764,1.19038,0,0.0668124,6.65083e-05,6.65083e-05
2,244.442,0.49687,6.19281,1.47151,0.42226,1.1603,0,0.85664,0.79964,0.88544,0.6433,0.81698,0.69018,0.73681,0.40364,0.51758,6.44106,1.49328,0.44863,1.15684,0,0.0335457,0.000133142,0.000133142
3,335.131,0.48906,5.98515,1.44981,0.41236,1.14886,0,0.86297,0.81596,0.90087,0.66548,0.81039,0.71222,0.75478,0.43394,0.49872,6.04952,1.43976,0.40592,1.12788,0,0.000278822,0.000199645,0.000199645
4,426.171,0.48438,5.83803,1.43337,0.40617,1.1449,0,0.86023,0.82357,0.90227,0.66635,0.81319,0.71048,0.7529,0.4286,0.49574,6.04483,1.43469,0.40219,1.12121,0,0.000199558,0.000199558,0.000199558
5,516.987,0.4845,5.85106,1.43546,0.40599,1.14435,0,0.86621,0.80928,0.9012,0.66598,0.81453,0.7142,0.75738,0.4317,0.49475,6.04511,1.43857,0.40466,1.12421,0,0.000199215,0.000199215,0.000199215
6,607.576,0.48438,5.84185,1.4314,0.40596,1.14378,0,0.86315,0.82116,0.90367,0.66705,0.81039,0.71883,0.75837,0.43178,0.49634,6.02039,1.43808,0.40108,1.12229,0,0.000198775,0.000198775,0.000198775
7,698.116,0.48461,5.82651,1.4287,0.4058,1.14426,0,0.86183,0.81754,0.90269,0.66789,0.81267,0.71584,0.75518,0.43227,0.49661,6.02472,1.43609,0.40338,1.12503,0,0.000198238,0.000198238,0.000198238
8,788.698,0.48435,5.83481,1.4311,0.40562,1.14524,0,0.86908,0.81518,0.90292,0.66662,0.81442,0.71781,0.75732,0.43384,0.49694,6.01224,1.43507,0.40206,1.1246,0,0.000197604,0.000197604,0.000197604
9,879.11,0.48425,5.80744,1.42725,0.40409,1.14403,0,0.87035,0.81549,0.90447,0.66792,0.81999,0.71521,0.75982,0.43483,0.49621,6.01348,1.43518,0.40203,1.12244,0,0.000196874,0.000196874,0.000196874
10,969.558,0.4844,5.80092,1.42629,0.40541,1.14367,0,0.87304,0.81093,0.90391,0.66594,0.80885,0.71962,0.75687,0.4348,0.49751,6.00583,1.43327,0.40327,1.12385,0,0.000196049,0.000196049,0.000196049
11,1060.09,0.48367,5.8078,1.42446,0.40572,1.14288,0,0.86551,0.81865,0.90221,0.66617,0.81201,0.71725,0.75853,0.43567,0.49717,5.9959,1.42771,0.40494,1.12256,0,0.00019513,0.00019513,0.00019513
12,1151.01,0.48381,5.80851,1.42728,0.40615,1.14325,0,0.86331,0.81801,0.9029,0.66766,0.81198,0.71865,0.76026,0.43665,0.49699,5.99428,1.42708,0.40311,1.12166,0,0.000194118,0.000194118,0.000194118
13,1241.95,0.48499,5.78608,1.42269,0.40572,1.14382,0,0.86475,0.81832,0.90222,0.66632,0.81438,0.71678,0.75925,0.43562,0.49714,5.99984,1.42696,0.40386,1.12353,0,0.000193013,0.000193013,0.000193013
14,1332.57,0.48359,5.78027,1.42063,0.4055,1.14367,0,0.86771,0.81549,0.9035,0.66753,0.81743,0.71788,0.76181,0.43766,0.49722,5.99858,1.42532,0.4043,1.12303,0,0.000191817,0.000191817,0.000191817
15,1423.24,0.48455,5.79803,1.41994,0.40533,1.14425,0,0.8638,0.81869,0.90309,0.66699,0.82416,0.71352,0.76375,0.43789,0.49655,5.97943,1.42606,0.40159,1.1237,0,0.00019053,0.00019053,0.00019053
16,1517.23,0.48476,5.77112,1.41816,0.40612,1.14321,0,0.86695,0.81691,0.90385,0.66687,0.80708,0.72383,0.75864,0.43754,0.49735,5.99177,1.42462,0.40191,1.12388,0,0.000189155,0.000189155,0.000189155
